Datum,Wohnungsart,Zimmeranzahl,Wohnungsgrösse_m2,Verkaufspreis,Wohnungs_Adresse,Kanton,Latitude/Longitude,clean
2022-12-21,unbekannt,4.5,125,1540000,"Blauenweg 3, 4107 Ettingen, BL",BL,"(47.4816432, 7.5457799)",clean
2022-12-21,unbekannt,4.5,112,550000,"3363 Oberönz, BE",BE,"(47.179799, 7.6946358)",clean
2022-12-21,unbekannt,4.5,131,645000,"6017 Ruswil, LU",LU,"(47.08480489598573, 8.1246368249777)",clean
2022-12-21,unbekannt,5.0,113,1580000,"1288 Aire-la-Ville, GE",GE,"(46.1916345, 6.041865716666666)",clean
2022-12-21,unbekannt,4.5,144,760000,"Bleike 19, 3911 Ried-Brig, VS",VS,"(46.3053198, 8.010525)",clean
2022-12-21,unbekannt,5.5,181,1274000,"Bleike 19, 3911 Ried-Brig, VS",VS,"(46.3053198, 8.010525)",clean
2022-12-21,unbekannt,5.5,143,1065000,"Selmattweg 4, 4246 Wahlen b. Laufen, BL",BL,"(None, None)",clean
2022-12-21,unbekannt,5.5,143,1058000,"Selmattweg 4, 4246 Wahlen b. Laufen, BL",BL,"(None, None)",clean
2022-12-21,unbekannt,2.5,69,550000,"Laufenstrasse 59a, 4246 Wahlen b. Laufen, BL",BL,"(None, None)",clean
2022-12-21,unbekannt,4.5,117,877500,"Laufenstrasse 59a, 4246 Wahlen b. Laufen, BL",BL,"(None, None)",clean
2022-12-21,unbekannt,4.5,102,776000,"Laufenstrasse 59, 4246 Wahlen b. Laufen, BL",BL,"(None, None)",clean
2022-12-21,unbekannt,3.5,81,657000,"Laufenstrasse 59, 4246 Wahlen b. Laufen, BL",BL,"(None, None)",clean
2022-12-21,unbekannt,3.5,81,640000,"Laufenstrasse 59, 4246 Wahlen b. Laufen, BL",BL,"(None, None)",clean
2022-12-21,unbekannt,4.5,108,945000,"Laufenstrasse 59, 4246 Wahlen b. Laufen, BL",BL,"(None, None)",clean
2022-12-21,unbekannt,2.5,73,770000,"Chemin de la Cure 12, 1092 Belmont-sur-Lausanne, VD",VD,"(46.5197451, 6.6804218)",clean
2022-12-21,unbekannt,4.5,112,755000,"Säntisstrasse 29, 8580 Amriswil, TG",TG,"(47.54739295, 9.307448749999999)",clean
2022-12-21,unbekannt,4.5,95,950000,"Chemin des Moilles, 1873 Champoussin, VS",VS,"(46.2093188, 6.8664271)",clean
2022-12-21,unbekannt,3.5,91,585000,"Rue de l'Ancien-Comté 9, 1635 La Tour-de-Trême, FR",FR,"(46.6109798, 7.0625102)",clean
2022-12-21,unbekannt,2.0,47,359000,"Birkenweg 38, 3072 Ostermundigen, BE",BE,"(46.9473033, 7.4860153)",clean
2022-12-21,unbekannt,3.5,96,730000,"Selmattweg 4, 4246 Wahlen b. Laufen, BL",BL,"(None, None)",clean
2022-12-21,unbekannt,4.5,103,1250000,"Rue Cité-Derrière 3, 1005 Lausanne, VD",VD,"(46.5231237, 6.6356758063218795)",clean
2022-12-21,unbekannt,4.5,120,675000,"5737 Menziken, AG",AG,"(47.23988013632501, 8.190131229474243)",clean
2022-12-21,unbekannt,4.5,118,1290000,"Blümlimattweg 1J, 3600 Thun, BE",BE,"(46.7590827, 7.6362775)",clean
2022-12-21,unbekannt,1.5,30,200000,"3716 Kandergrund, BE",BE,"(46.55408678256228, 7.6627863991103204)",clean
2022-12-21,unbekannt,3.5,88,550000,"Husmattstrasse 5, 3123 Belp, BE",BE,"(46.88592335, 7.502242347679908)",clean
2022-12-21,unbekannt,2.5,85,850000,"Länggassstrasse 65, 3012 Bern, BE",BE,"(46.9551825, 7.4284648)",clean
2022-12-21,unbekannt,4.5,111,1290000,"Avenue de Morges 119 A, 1004 Lausanne, VD",VD,"(46.525954049999996, 6.614495820863802)",clean
2022-12-21,unbekannt,4.0,95,0,"Maulbeerweg 5, 4512 Bellach, SO",SO,"(47.213088299999995, 7.494041387380193)",clean
2022-12-21,unbekannt,4.5,128,820000,"Lyssstrasse 4, 3267 Seedorf BE, BE",BE,"(47.0355457, 7.31383015)",clean
2022-12-21,unbekannt,2.5,89,345000,"1880 Bex, VD",VD,"(46.25342429072375, 7.024351842558613)",clean
2022-12-21,unbekannt,4.5,116,1190000,"Rappenmööslistrasse 30, 8840 Einsiedeln, SZ",SZ,"(47.12125455, 8.73889875)",clean
